title,source
Mau Kuliah di Unhas? Ayo. Hadiri Unhas Open Day 2026,https://www.unhas.ac.id/mau-kuliah-di-unhas-ayo-hadiri-unhas-open-day-2026/?lang=id
"22 Lulusan Terbaik Unhas Raih Penghargaan, Dominasi Predikat Cum Laude",https://www.unhas.ac.id/22-lulusan-terbaik-unhas-raih-penghargaan-dominasi-predikat-cum-laude/?lang=id
Rektor Unhas Tekankan Penguatan Budaya Ilmiah Global,https://www.unhas.ac.id/rektor-unhas-tekankan-penguatan-budaya-ilmiah-global/?lang=id
Sebanyak 1.365 Wisudawan Baru Pada Wisuda Unhas Periode Februari 2026,https://www.unhas.ac.id/sebanyak-1-365-wisudawan-baru-pada-wisuda-unhas-periode-februari-2026/?lang=id
"Komisi Nasional Disabilitas Berkunjung ke Unhas, Perkuat Implementasi Kampus Inklusif",https://www.unhas.ac.id/komisi-nasional-disabilitas-berkunjung-ke-unhas-perkuat-implementasi-kampus-inklusif/?lang=id
Provinsi Sulawesi Tengah Perkuat Sinergi dengan Unhas untuk Beasiswa Berani Cerdas,https://www.unhas.ac.id/provinsi-sulawesi-tengah-perkuat-sinergi-dengan-unhas-untuk-beasiswa-berani-cerdas/?lang=id
"Kick Off Zona Integritas 2026, Rektor Unhas: Kita Bangun Budaya Pelayanan Prima Bebas dari Korupsi",https://www.unhas.ac.id/kick-off-zona-integritas-2026-rektor-unhas-kita-bangun-budaya-pelayanan-prima-bebas-dari-korupsi/?lang=id
"Bulan K3, Unhas Dorong Penguatan Budaya Keselamatan Kerja di Lingkungan Kampus",https://www.unhas.ac.id/bulan-k3-unhas-dorong-penguatan-budaya-keselamatan-kerja-di-lingkungan-kampus/?lang=id
"LSP Unhas Gelar FGD Rapat Kerja 2026, Perkuat Arah Program dan Tata Kelola Sertifikasi",https://www.unhas.ac.id/lsp-unhas-gelar-fgd-rapat-kerja-2026-perkuat-arah-program-dan-tata-kelola-sertifikasi/?lang=id
"Menteri Diktisaintek Hadiri Nobel Laureate Lecture di Unhas, Rektor: Momen Sangat Langka",https://www.unhas.ac.id/menteri-diktisaintek-hadiri-nobel-laureate-lecture-di-unhas-rektor-momen-sangat-langka/?lang=id
Peraih Nobel 2022 Prof. Morten P. Meldal Bahas Peran Kimia untuk Dunia Berkelanjutan di Unhas,https://www.unhas.ac.id/peraih-nobel-2022-prof-morten-p-meldal-bahas-peran-kimia-untuk-dunia-berkelanjutan-di-unhas/?lang=id
"22 Lulusan Terbaik Unhas Raih Penghargaan, Dominasi Predikat Cum Laude",https://www.unhas.ac.id/22-lulusan-terbaik-unhas-raih-penghargaan-dominasi-predikat-cum-laude/?lang=id
Rektor Unhas Tekankan Penguatan Budaya Ilmiah Global,https://www.unhas.ac.id/rektor-unhas-tekankan-penguatan-budaya-ilmiah-global/?lang=id
Provinsi Sulawesi Tengah Perkuat Sinergi dengan Unhas untuk Beasiswa Berani Cerdas,https://www.unhas.ac.id/provinsi-sulawesi-tengah-perkuat-sinergi-dengan-unhas-untuk-beasiswa-berani-cerdas/?lang=id
UKM PAL Fakultas Kehutanan Unhas Salurkan Bantuan untuk Korban Banjir Sumatera,https://www.unhas.ac.id/ukm-pal-fakultas-kehutanan-unhas-salurkan-bantuan-untuk-korban-banjir-sumatera/?lang=id
"Inovasi Mahasiswa Unhas Diadopsi PLN, Solusi Energi Pulau Gili Ketapang Probolinggo",https://www.unhas.ac.id/inovasi-mahasiswa-unhas-diadopsi-pln-solusi-energi-pulau-gili-ketapang-probolinggo/?lang=id
"Perkuat Daerah Pesisir, Unhas Lepas Mahasiswa KKN Tematik ke Wakatobi",https://www.unhas.ac.id/perkuat-daerah-pesisir-unhas-lepas-mahasiswa-kkn-tematik-ke-wakatobi/?lang=id
Provinsi Sulawesi Tengah Perkuat Sinergi dengan Unhas untuk Beasiswa Berani Cerdas,https://www.unhas.ac.id/provinsi-sulawesi-tengah-perkuat-sinergi-dengan-unhas-untuk-beasiswa-berani-cerdas/?lang=id
Unhas dan University of Arkansas Perkuat Kolaborasi Riset Unggas Internasional,https://www.unhas.ac.id/unhas-dan-university-of-arkansas-perkuat-kolaborasi-riset-unggas-internasional/?lang=id
Unhas Perkuat Jejaring Alumni melalui Australia Alumni Gala Dinner,https://www.unhas.ac.id/unhas-perkuat-jejaring-alumni-melalui-australia-alumni-gala-dinner/?lang=id
"Sosialisasi SNPMB di Toraja, Unhas Tegaskan Informasi Kelulusan Hanya Lewat Akun Portal Siswa",https://www.unhas.ac.id/sosialisasi-snpmb-di-toraja-unhas-tegaskan-informasi-kelulusan-hanya-lewat-akun-portal-siswa/?lang=id
"Perluas Jejaring Industri, Career Center Unhas Kunjungi Eigerindo di Bandung",https://www.unhas.ac.id/perluas-jejaring-industri-career-center-unhas-kunjungi-eigerindo-di-bandung/?lang=id
LPPM Unhas Finalisasi Kajian Percepatan Pertumbuhan Ekonomi Berkelanjutan Kabupaten Tambrauw,https://www.unhas.ac.id/lppm-unhas-finalisasi-kajian-percepatan-pertumbuhan-ekonomi-berkelanjutan-kabupaten-tambrauw/?lang=id
Mau Kuliah di Unhas? Ayo. Hadiri Unhas Open Day 2026,https://www.unhas.ac.id/mau-kuliah-di-unhas-ayo-hadiri-unhas-open-day-2026/?lang=id
"22 Lulusan Terbaik Unhas Raih Penghargaan, Dominasi Predikat Cum Laude",https://www.unhas.ac.id/22-lulusan-terbaik-unhas-raih-penghargaan-dominasi-predikat-cum-laude/?lang=id
Rektor Unhas Tekankan Penguatan Budaya Ilmiah Global,https://www.unhas.ac.id/rektor-unhas-tekankan-penguatan-budaya-ilmiah-global/?lang=id
Sebanyak 1.365 Wisudawan Baru Pada Wisuda Unhas Periode Februari 2026,https://www.unhas.ac.id/sebanyak-1-365-wisudawan-baru-pada-wisuda-unhas-periode-februari-2026/?lang=id
"Unhas Gelar Penandatanganan Kontrak Kinerja 2026, Perkuat Komitmen Pencapaian Target Institusi",https://www.unhas.ac.id/unhas-gelar-penandatanganan-kontrak-kinerja-2026-perkuat-komitmen-pencapaian-target-institusi/?lang=id
Mau Kuliah di Unhas? Ayo. Hadiri Unhas Open Day 2026,https://www.unhas.ac.id/mau-kuliah-di-unhas-ayo-hadiri-unhas-open-day-2026/?lang=id
"22 Lulusan Terbaik Unhas Raih Penghargaan, Dominasi Predikat Cum Laude",https://www.unhas.ac.id/22-lulusan-terbaik-unhas-raih-penghargaan-dominasi-predikat-cum-laude/?lang=id
Rektor Unhas Tekankan Penguatan Budaya Ilmiah Global,https://www.unhas.ac.id/rektor-unhas-tekankan-penguatan-budaya-ilmiah-global/?lang=id
Sebanyak 1.365 Wisudawan Baru Pada Wisuda Unhas Periode Februari 2026,https://www.unhas.ac.id/sebanyak-1-365-wisudawan-baru-pada-wisuda-unhas-periode-februari-2026/?lang=id
"Unhas Gelar Penandatanganan Kontrak Kinerja 2026, Perkuat Komitmen Pencapaian Target Institusi",https://www.unhas.ac.id/unhas-gelar-penandatanganan-kontrak-kinerja-2026-perkuat-komitmen-pencapaian-target-institusi/?lang=id
